"segmentLabels__BUILDING","segmentLabels__VALUE","segmentLabels__BUSINESS","segmentLabels__CHECKIN","segmentLabels__LOCATION","segmentLabels__FOOD","segmentLabels__CLEANLINESS","segmentLabels__ROOMS","segmentLabels__SERVICE","segmentLabels__NOTRELATED","annotatorId","ratingOverall","ratingRoom","author","hotelId","reviewId","ratingLocation","ratingCleanliness","ratingService","ratingBusiness","ratingValue","segmentLabels__OTHER","date","ratingCheckin","segments"
"","","","","","","","p","","","","","","","","","","","","","","","","","The beds were extremely comfortable, and the rooms surprisingly quiet."
"","","","","","","p","p","","","","","","","","","","","","","","","","","The bathroom was clean, and so modern that at first I could not figure out how to drain the sink (I thought it was malfunctioning), but a quick visit from maintenance showed I just wasn't hip enough to figure it out."
"","","","","","","","","","in","","","","","","","","","","","","","","","One bad thing was that our shower curtain smelled of mildew."
"p","","p","","","","","","","","","","","","","","","","","","","","","","Some helpful and **FREE** amenities of the hotel include a very nice business center, and a small, well equipped gym on the second floor."
"","","p","","","","","","","","","","","","","","","","","","","","","","The business center has a couple computers and even a printer for guests (internet service in rooms requires an extra fee)."
"ip","","","","","","","","","","","","","","","","","","","","","","","","The gym has several quite fancy treadmills and some free weights."
"","","","","","","","","ip","","","","","","","","","","","","","","","","The staff was also very flexible about splitting our bill several ways (I was sharing a double room with two other people)."
"","","","","","","","","","","","","","","","","","","","","","in","","","My only complaint was that one night the television stopped working for no apparent reason, and the maintenance man was unable to fix it."
"","","","","","","","","","","","","","","","","","","","","","","","","It eventually started working again, also for no obvious reason, so I never figured out what was wrong."
"","","","","","","","","","p","","","","","","","","","","","","","","","We ate in the attached bar Red Fin, and the food and wine were very tasty."
"","","","","p","","","","","","","","","","","","","","","","","","","","The hotel has a nice location within walking distance from the convention center, space needle, waterfront, and Pike Place Market."
"","","","","","","","","","","","","","","","","","","","","","","","","Don't miss the nearby Palace Kitchen Restaurant and the doughnut shop that are on 5th Avenue."
"","","","","","","","","","","","","","","","","","","","","","","","","Both are yummy."
"","","","","","","","","","","0","4","5","Fenten","578371","578371:1048","5","5","5","-1","5","p","Sep 24, 2007","4","The pool was the highlight!"
"","","","","","","","","","","","","","","","","","","","","","","","","My hubby and I just returned from a 1 week stay at the Majestic."
"","","","","","","","","","","","","","","","","","","","","","","","","We travelled with Sunwing Vacations out of Toronto."
"","","","","","","","","","","","","","","","","","","","","","p","","","Overall, we had a great time."
"","","","","","","","","","","","","","","","","","","","","","p","","","This is most definately a RELAXING vacation, which I found to be a bit difficult to do at times."
"","","","","","","","","","","","","","","","","","","","","","","","","This was our 1st all inclusive vacation as we usually go on cruises (Royal Caribbean)."
"","","","","","","","","","","","","","","","","","","","","","","","","Due to the fact that we are experienced cruisers, an all inclusive vacation had alot to live up to."
"","","","","","","","","","","","","","","","","","","","","","p","","","The Majestic did not disappoint in most areas."
"","","","","","","","p","","","","","","","","","","","","","","","","","The regular junior suites are amazing."
"","","","","","","","","","","","","","","","","","","","","","","","","I did ask before hand to have a room in building #2 overlooking the pool."
"","","","","","","","","in","","","","","","","","","","","","","","","","After arriving we were put in building #3."
"","","","","","","","","n","","","","","","","","","","","","","","","","I asked to switch rooms and they did give me a bit of a hard time saying I did have a pool view."
"","","","","","","","","ix","","","","","","","","","","","","","","","","But building #2 is so much closer to the pool they eventually switched us."
"","","","","","","","","","","","","","","","","","","","","","","","","One thing you must ask for when checking in is a Majestic Passport."
"","","","","","","","","","","","","","","","","","","","","","in","","","I can't understand why they don't just hand these out to visitors."
"","","","","","","","","","","","","","","","","","","","","","","","","Otherwise you have no way of knowing what the restaurant hours are, rules about the towels, housekeeping number to call, etc."
"","","","","","","","","","","","","","","","","","","","","","n","","","There is absolutely no information in your room about anything to do with the resort."
"","","","","","","","","","","","","","","","","","","","","","","","","That was a bid frustrating, but luckily we had the passport."
"","","","","","","","","","","","","","","","","","","","","","","","","Now for the food."
"","","","","","in","","","","","","","","","","","","","","","","","","","This is mostly where the Majestic loses 1 star."
"","","","","","n","","","","","","","","","","","","","","","","","","","The food doesn't even compare to cruise food."
"","","","","","in","","","","","","","","","","","","","","","","","","","If you haven't cruised before, then you'd probably think the food was pretty good."
"","","","","","x","","","","","","","","","","","","","","","","","","","The Supreme buffet is pretty good for breakfast, but many items are cold."
"","","","","","ix","","","","","","","","","","","","","","","","","","","I always got my eggs or omleets prepared by the cook to ensure they were fresh."
"","","","","","p","","","","","","","","","","","","","","","","","","","The crepes were my favourite part of breakfast."
"","","","","","x","","","","","","","","","","","","","","","","","","","Lunch at the Beach buffet was OK."
"","","","","","in","","","","","","","","","","","","","","","","","","","Not alot to choose from."
"","","","","","n","","","","","","","","","","","","","","","","","","","We would have done better to eat at the Supreme buffet but we were always wet from the ocean/pool."
"","","","","","","","","","","","","","","","","","","","","","","","","For dinner we tried the Japaneese, Le Gourmet, Rodeo Steakhouse and main buffet."
"","","","","","n","","","","","","","","","","","","","","","","","","","The Japaneese wasn't as fun as I was hoping for."
"","","","","","n","","","","","","","","","","","","","","","","","","","Perhaps our table was a bit on the boring side, but the cook didn't even ineract with us."
"","","","","","p","","","","","","","","","","","","","","","","","","","Le Gourmet was good."
"","","","","","p","","","","","","","","","","","","","","","","","","","It was nice to finally eat at a restaurant that wasn't buffet."
"","","","","","p","","","","","","","","","","","","","","","","","","","I probably enjoyed the main buffet the best just for the variety."
"","","","","","in","","","","","","","","","","","","","","","","","","","I found at all places they tend to cook with ALOT of oils and salt."
"","","","","","n","","","","","","","","","","","","","","","","","","","There is no way I could stay beyond 1 week at the Majestic as the food choices were getting quite boring and routine after a few days."
"","","","","","ix","","","","","","","","","","","","","","","","","","","We never got sick thank goodness."
"p","","","","","","","","","","","","","","","","","","","","","","","","The resort grounds are beautiful."
"ip","","","","","","","","","","","","","","","","","","","","","","","","No complaints there."
"ip","","","","","","","","","n","","","","","","","","","","","","","","","We visited the Bahia Principe next door and were VERY glad we chose the Majestic as their layout is much more preferred."
"p","","","","","","","","","","","","","","","","","","","","","p","","","The pool is incredible and the ocean was fantastic."
"","","","","","","","","","","","","","","","","","","","","","p","","","The resort couldn't have been more than 50% full so there was always a shady spot to sit."
"","","","","","","","","","","","","","","","","","","","","","p","","","The entertainment crew did a great job."
"","","","","","","","","","","","","","","","","","","","","","ip","","","They had so much energy!"
"","","","","","","","","","","","","","","","","","","","","","p","","","We saw all the shows at 10 pm and they were good."
"","","","","","","","","","","","","","","","","","","","","","x","","","Perhaps a bit long."
"","","","","","","","","","","","","","","","","","","","","","ix","","","Due to the comfy chairs I usually fell asleep."
"","","","","","","","","","","","","","","","","","","","","","","","","We did 1 exchursion."
"","","","","","","","","","","","","","","","","","","","","","","","","The Marinium tour where you snorkel with sharks/stingrays."
"","","","","","","","","","","","","","","","","","","","","","x","","","That was pretty fun."
"","","","","","","","","","","","","","","","","","","","","","","","","The sharks were much bigger than I was expecting."
"","","","","","","","","","","","","","","","","","","","","","p","","","If we were to go back to the Dominican I think we would stay there agin."
"","","","","","","","","p","","","","","","","","","","","","","p","","","I can't imagine a more beautiful resort or more helpful staff."
"","","","","","x","","","","","","","","","","","","","","","","","","","The food is just part of the deal and it has to be expected to be a bit lower quality compared to cruise ships."
"","","","","","","","","","","0","4","-1","A TripAdvisor Member","112007","112007:72","-1","-1","-1","-1","-1","p","Jul 25, 2004","-1","Lovely Small Hotel"
"","","","","ip","","","","","","","","","","","","","","","","","","","","Just stayed 2 nights recently, hardly stayed in the room as we walked all around the Old and New French Quarter area."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Live music, shops food."
"","","","","","","","","","","","","","","","","","","","","","","","","I was surprised as one morning there was a wedding by the pool and the day before I saw a wedding too."
"","","","","","","","","","","","","","","","","","","","","","","","","The French Quarter is now full of people getting married by some Dr. Jerry in New Orleans."
"","","","","p","","","","","","","","","","","","","","","","","","","","I liked the hotel as it was close to all that I wanted to see and do."
"","","","","","","","","p","","","","","","","","","","","","","","","","Nice staff too."
"","","","","","","","","","","2","5","5","TravelNonstop","618542","618542:152","5","5","5","5","5","p","Aug 31, 2007","5","Loved it!"
"","","","","","","","p","","","","","","","","","","","","","","","","","We stayed in room 408 and it was great."
"","","","","","","p","","","","","","","","","","","","","","","","","","Everything was SO CLEAN and SO NEW and SO WELL DONE!"
"","","","","","","","p","","","","","","","","","","","","","","","","","I loved te sliding bathroom door and the beds were very comfy and so were the pillows and bedding."
"","","","","","","","","","x","","","","","","","","","","","","","","","I'm turning GREEN so knowing I was helping give back was also a HUGE plus!"
"","","","","","","","","","","","","","","","","","","","","","p","","","I'd stay there everytime!"
"","n","","","","","","","","","","","","","","","","","","","","","","","Do beware that a soda at the bar will cost you $3.56 before tip!"
"","n","","","","","","","","","","","","","","","","","","","","","","","A bit pricey for a can of Sprite."
"","","","","p","","","","","","","","","","","","","","","","","","","","Very convienent to everything."
"","","","","","","","","","x","","","","","","","","","","","","","","","The Cafe across the street, Cade De le Presse is delicous! Order the french toast!"
"","","","","","","","","","","1","4","-1","A TripAdvisor Member","218524","218524:2513","-1","-1","-1","-1","-1","p","Jul 31, 2003","-1","Muy Bien To all of the people that worry about the comments - Dont'"
"","p","","","","","","","","","","","","","","","","","","","","","","","Worry this place is worth every penny."
"","","","","","","","","","","","","","","","","","","","","","p","","","My husband and myself enjoyed this wonderful resort from July 19 thru July 28th."
"","","","","","","","","p","","","","","","","","","","","","","","","","The Staff was great and so was the service."
"","","","","","","","","","","","","","","","","","","","","","","","","You cannot encounter a problem that could not be fixed."
"","","","","","","","","","","","","","","","","","","","","","p","","","The Spa was top notch, the restaurants were basically the same as any other resort actually better i.e. Sandals, etc."
"","","","","","","","","","","","","","","","","","","","","","ip","","","If you want to have the most relaxing and wonderful vacation ever come to Secrets!"
"","","","","","","","","","","","","","","","","","","","","","ip","","","you won't be disappointed."
"","","","","","","","","","","","","","","","","","","","","","","","","ENJOY"
"","p","","","p","","","","","","0","3","3","Tiger_Totty","239591","239591:61","4","3","3","3","3","","Jun 5, 2007","3","Great location, cost effective"
"","","","","p","","","","","","","","","","","","","","","","","","","","Hotel is down some side streets 5 minute walk away from the main street of La Rambla with its metro stop of Liceu - so you are within easy reach of the rest of the City via the metro."
"","","","","p","","","","","n","","","","","","","","","","","","","","","Location wise the hotel is great but during the night the side streets were a little daunting and saw a girl get her bag snatched 鈥?"
"","","","","","","","","","","","","","","","","","","","","","","","","just keep your wits about you and you will have no problems."
"","","","","p","","","","","","","","","","","","","","","","","","","","There are lots of lovely local bars and cafes near the hotel 鈥?"
"","","","","","","","","","p","","","","","","","","","","","","","","","much better value that those of on La Rambla 鈥?"
"","","","","","","","","","p","","","","","","","","","","","","","","","found lovely tapas bars and ate with the locals."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Found one bar just down the street taking a right out of the hotel which was a good night and one lovely one set in the walled garden area found by walking out of the hotel taking a left and left again and there is a large wall opposite 鈥?"
"","","","","ip","","","","","","","","","","","","","","","","","","","","go through the large gate and to the left is a lovely little outside bar area 鈥?"
"","","","","","","","","","","","","","","","","","","","","","","","","kind of set in a walled garden area."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Would advise taking a stroll in the opposite direction to La Rambla and exploring the area were you will stumble across the most wonderful bars and restaurants at much better value."
"","","","","","","p","p","","","","","","","","","","","","","","","","","Took a room on the fourth floor, room was nice and clean, laminate floors throughout and a wonderfully powerful shower, plasma TV 鈥?"
"","","","","","","","x","","","","","","","","","","","","","","","","","only downside was that the laminate floors meant that when the cleaners came round in the morning the noise from the corridor was greatly amplified."
"","","","","","ix","","","","","","","","","","","","","","","","","","","Breakfast was continental 鈥?"
"","","","","","ix","","","","","","","","","","","","","","","","","","","ok 鈥?"
"","","","","","ix","","","","","","","","","","","","","","","","","","","as I love a full English breakfast 鈥?"
"","","","","","x","","","","","","","","","","","","","","","","","","","not so keen on the sausage and egg provided as it wasn鈥檛 what I was used to so I got by on the tea and toast - but everyone seemed to be enjoying it - if you prefer something heartier then there are plenty of cafes around."
"","","","","","","","","p","","","","","","","","","","","","","","","","Found the staff helpful and the taxi drivers knew where the hotel was so no trouble finding it."
"","p","","","p","p","","","","","","","","","","","","","","","","","","","Over all I think I would stay here again, location was great and for the price the standard of furnishings and quality was top notch 鈥?"
"","","","","","","","","","","","","","","","","","","","","","p","","","would recommend."
"","","","","","","","","","x","2","4","-1","A TripAdvisor Member","209583","209583:184","-1","-1","-1","-1","-1","","Mar 8, 2006","-1","Bavaro Palace A group of 10 just returned from the Bavaro"
"","","","","","","","","","x","","","","","","","","","","","","","","","Complex, for my husband and myself it was out 2nd trip to this resort."
"","","","","","","","","","","","","","","","","","","","","","p","","","We were pleasantly surprised when we were upgraded from the Beach Resort to the Palace."
"p","","","","","p","","","","","","","","","","","","","","","","p","","","All in all, the complex is nice, the beaches are wonderful and the food is pretty good."
"","","","","","x","","","","","","","","","","","","","","","","","","","One word of caution - drink lots of bottled water and watch the food preparation, making sure your food has been cooked all the way."
"","","","","","","","","p","","","","","","","","","","","","","","","","We found the staff to be friendly and plenty of activities for everyone in our group to enjoy."
"","","","","","","","","","","1","4","4","loobeloo","305813","305813:390","5","4","4","4","4","p","Nov 9, 2006","3","Great!!!"
"","","","","","","","","","","","","","","","","","","","","","p","","","Had a lovely stay at the Langham"
"","","","","","","","","","","","","","","","","","","","","","","","","Place during a six day stay."
"","","","","","","","","","","","","","","","","","","","","","","","","Other reviewers have said what we would like to say."
"p","p","","","p","","","","","","","","","","","","","","","","","","","","Great location, lovely spa/swimming pool, etc.Slightly put out by the fact that we booked months in advance for an Earlybird rate, to find there were cheaper rates."
"","","","","","","","","","","","","","","","","","","","","","","","","For the length of stay, I would have appreciated the hotel to have offered the best rate, and been able to amend when we arrived."
"","","","","","","","","","","","","","","","","","","","","","","","","So don't always think that booking early is the best."
"","","","","","","","","","","","","","","","","","","","","","","","","But it hasn't put me off the place, and it will definitley be our choice of hotel when we return, which I hope will not be too far away!!!"
"","","","","","","","","","","0","4","4","Olofvilla","230119","230119:57","5","5","5","5","4","p","Nov 17, 2006","4","Very good experience"
"","p","","","","","","","","","","","","","","","","","","","","","","","Just stayed night of 14th November 2006, got a very good rate including buffet breakfast from otel."
"","","","p","","","","p","","","","","","","","","","","","","","","","","com.Ensure you shop around for good rates do not pay Hotel rack ratesFriendly check in staff ,given Excellent double room, very comfy bed and pillows."
"","","","","p","","","","","","","","","","","","","","","","","","","","Good Location at the Airport for early departures ,head towards Parking Area 1, via Schipol Plaza after leaving arrivalsA very brief walk back to the Plaza allows you to catch a train to Amsterdam Central, journey time is around 18 minutes and trains run very frequently, Return Journey costs around 7 euros."
"","x","","","","n","","","","","","","","","","","","","","","","","","","Beware - If paying the buffet breakfast was poor value, Ok for cereals and fruit,poor quality cooked breakfast."
"","","","","","","","","p","","2","5","3","lovebeachtravel","86966","86966:26","5","5","5","5","5","p","Oct 20, 2008","5","Great hotel with great Staff"
"","","","","","","","","p","","","","","","","","","","","","","p","","","After 5 days in hostels in Waikiki and Honolulu, I stayed for 2 nights at the Coconut Plaza (it was the Aqua when my stay occurred) I really enjoyed this hotel, mostly due to the fact that the staff was so attentive and friendly."
"","","","","","p","","","p","","","","","","","","","","","","","","","","There's a complimentary breakfast, and I was able to use a courtesy room to shower before my flight."
"","","","","","","","p","","","","","","","","","","","","","","","","","My room had a great view of the Ala Wai Canal."
"","","","","x","","","","","","","","","","","","","","","","","","","","While not on the beach, I think a lot of travellers put too much emphasis on needing to be beachfront in Waikiki."
"","","","","p","","","","","","","","","","","","","","","","","","","","Waikiki is small and you can walk to the beach in a short time."
"","","","","","","","","","","","","","","","","","","","","","p","","","I really enjoyed my stay here,"
"","","","","p","","","","","","2","4","2","Lisaleopard","93034","93034:89","5","4","3","-1","3","","Oct 24, 2006","2","Great Location!!"
"","","","","","","","","","","","","","","","","","","","","","x","","","We just got back from teh Royal Sonesta."
"","","","","p","","","","","","","","","","","","","","","","","","","","I must say the location in superb."
"","","","","","","","","","x","","","","","","","","","","","","","","","However, be prepared that most restaurants and hotels are working at half of their usual staff since Katrina."
"","","","","","","","","","x","","","","","","","","","","","","","","","You will have to wait in lines to check in and will never see anyone greeting you at the door."
"","","","","","","","","x","","","","","","","","","","","","","","","","One poor bellman for the hotel the whole time we were there."
"","","","","","","","","p","","","","","","","","","","","","","","","","Eubanks, the bellman was wonderful!"
"","","","","","","","","","x","","","","","","","","","","","","","","","Made an excellent recommendation or dinner-Tommy's...you have to eat there!!"
"","","","","","","","","p","","","","","","","","","","","","","","","","Say hello to him-their best employee!!"
"p","","","","","","","n","","","","","","","","","","","","","","","","","Hotel is beautiful but rooms are a little outdated."
"","","","","","","","p","","","","","","","","","","","","","","","","","Stay in courtyard room-very quiet."
"","","","","","","","","","","","","","","","","","","","","","p","","","Overall a good expereience."
"","","","","p","","","","","","","","","","","","","","","","","","","","Location is worth the other hassles of the hotel."
"","","","","","","","","","x","","","","","","","","","","","","","","","Go to Spa Aria at tehhOtel MOnteleone...wonderful services there!! Eat at Muriel's and Tommy's!!!! You won't be disappointed!"
"","","","","p","","","","p","","1","4","4","chemical_laser","268533","268533:6","5","5","5","5","4","","Dec 20, 2008","5","Great location, fantastic staff"
"","","","","","","","","","","","","","","","","","","","","","","","","I stayed at the Argonaut for two nights beginning December 16.I arrived very late (after midnight), so I didn't notice the valet parking when I pulled up."
"","","","","","","","","","","","","","","","","","","","","","","","","Luckily there was a spot around the corner."
"","","","","","","","","p","","","","","","","","","","","","","","","","The valet met me at the door, let me in, and was very pleasant."
"","","","p","","","","n","","","","","","","","","","","","","","","","","The desk clerk was equally friendly and I was on my way to my room (482) in a minute or two.Upon entry, I was surprised at how small the room was."
"","","","","","","","n","","","","","","","","","","","","","","","","","It was also pretty cold."
"","","","","","","","p","","","","","","","","","","","","","","","","","Otherwise, it was nicely decorated and cozy."
"","","","","","","","","","","","","","","","","","","","","","","","","The iPod-dockable clock radio was on and softly playing some classical music."
"","","","","","","","ip","","","","","","","","","","","","","","","","","Because I am an inTouch member, a gift of a bottle of water and a bar of chocolate were waiting for me on the nightstand."
"","","","","","","","ip","","","","","","","","","","","","","","","","","Another pair of chocolates lay on the pillow."
"","","","","","","","","","","","","","","","","","","","","","","","","I thought that was a nice touch."
"","","","","","","","","","","","","","","","","","","","","","","","","I turned on the heat and the room was at a comfortable temperature by the time I had finished unpacking."
"","","","","","","","p","","","","","","","","","","","","","","","","","The bed was extremely comfortable."
"","","","","","","p","","","","","","","","","","","","","","","","","","The room was very clean."
"","","","","","","","p","","","","","","","","","","","","","","","","","The shower was hot and the water pressure strong."
"","","","","","","","","","","","","","","","","","","","","","ip","","","The bathroom amenities were L'Occitane."
"","","","","","","","","","","","","","","","","","","","","","","","","The only lapse in the otherwise excellent service was at breakfast the following morning."
"","","","","","","","","","","","","","","","","","","","","","","","","I had been given vouchers for a continental breakfast at check-in."
"","","","","","","","","","","","","","","","","","","","","","","","","I was hungry for a bit more than that and ordered eggs and sausage."
"","","","","","","","","","","","","","","","","","","","","","","","","The waiter brought eggs and bacon instead."
"","","","","","","","","in","","","","","","","","","","","","","","","","When I pointed out the mistake, he returned with sausage, then disappeared."
"","","","","","","","","","","","","","","","","","","","","","","","","I had to flag down the hostess in order to get my check."
"","","","","","p","","","","","","","","","","","","","","","","","","","The food was excellent."
"","","","","","","","","p","","","","","","","","","","","","","","","","With that sole exception, the service was every bit as good as I've come to expect from the Kimpton brand."
"","","","","","","","","","","","","","","","","","","","","","","","","Thanks to a busy work schedule, I did not get to spend much time in the area around the hotel."
"","","","","ip","","","","","","","","","","","","","","","","","","","","From what I saw while driving, the neighborhood is very picturesque."
"","","","","","","","","","","","","","","","","","","","","","n","","","This would be a great home-base for exploring the Fisherman's Wharf area.A note for the budget-conscious: the parking rates are outrageous - $39/day plus tax (and tip) for valet parking."
"","","","","","","","","","n","","","","","","","","","","","","ip","","","In their defense, it's my understanding that parking in San Francisco is uniformly insane.I would definitely stay here again."
"","","","","","","","","","","0","4","4","simbapa","247957","247957:133","5","4","4","3","4","p","May 11, 2008","5","LOVED IT...LOVED IT...LOVED IT..."
"","","","","","","","","","","","","","","","","","","","","","p","","","Don't hesitate to stay here unless you are upper class American and only expect the very very best."
"","p","","","","","","","","","","","","","","","","","","","","","","","For the price you pay this resort is awesome."
"","","","","","","","","","x","","","","","","","","","","","","p","","","I have been to Punta Cana before and stayed at a Riu resort which was nice but I liked this much better."
"","","","","","","","","","","","","","","","","","","","","","","","","I am from middle class america and I was very satisfied."
"","","","","","","","","","","","","","","","","","","","","","","","","I went with my daughter and my 2 grandsons."
"","","","","","","","","","","","","","","","","","","","","","p","","","They had a blast."
"","","","ix","","","","","","","","","","","","","","","","","","","","","It kills me when people put in these reviews about no hot water and a long check in etc."
"","","","","","","","","","","","","","","","","","","","","","","","","You are in another country people."
"","","","","","","","","","","","","","","","","","","","","","","","","Not America."
"","","","","","","","","","","","","","","","","","","","","","","","","Deal with it."
"ix","","","","","","","ix","","","","","","","","","","","","","","","","","They don't have water systems like we do."
"","","","","","","","ix","","","","","","","","","","","","","","","","","If you expect 5 star service then don't leave your country where you have all the modern facilities."
"","","","","","","","p","","","","","","","","","","","","","","","","","We only had to take a cold shower one day and it gave us a good laugh."
"","","","p","","","","","","","","","","","","","","","","","","","","","Check in couldn't have been any smoother."
"","","","ip","","","","","","","","","","","","","","","","","","","","","We arrived at noon and were in our room at 1."
"p","","","","","p","","","","","","","","","","","","","","","","","","","Food was great, pool is awesome."
"p","","","","","","","","","","","","","","","","","","","","","","","","Swim up bar fantastic, beach is beautiful and on and on."
"","","","","","","","","","","","","","","","","","","","","","p","","","So bottom line is if you are an average american like me go to this resort."
"","","","","","","","","","","","","","","","","","","","","","p","","","It is wonderful."
"","","","","","","","","","","","","","","","","","","","","","","","","email me any questions and I will gladly answer them."
"","","","","","","","","","","","","","","","","","","","","","ip","","","And please ignore the negative comments."
"","","","","","","","","","","","","","","","","","","","","","ip","","","They are unfounded."
"","","","","","","","","","","2","5","5","ashsmash","195006","195006:1","5","5","5","4","5","p","Nov 6, 2008","5","LOVED the Hotel Lungarno"
"","","","","","","","","","","","","","","","","","","","","","x","","","My husband and I spent 5 days in Florence and 5 in Rome for our honeymoon and I really belabored over picking some good hotels."
"","","","","","","","","","x","","","","","","","","","","","","","","","I studied in Florence, so the pressure was on."
"","","","","","","","","","","","","","","","","","","","","","p","","","I struck gold with the Hotel Lungarno."
"","","","","","","","","","","","","","","","","","","","","","p","","","It was fantastic."
"","","","","p","","","","","","","","","","","","","","","","","","","","The location is PERFECT."
"","","","","","","","p","","","","","","","","","","","","","","","","","The room was a great room - had a balcony and view of the Boboli Gardens and the Uffizi."
"","ip","","","","","","","","","","","","","","","","","","","","","","","They upgraded us for free."
"","","","","","","","","p","","","","","","","","","","","","","","","","It was a great boutique hotel that had the personal feel that I was looking for."
"p","","","","","","","","","","","","","","","","","","","","","","","","The lounge area overlooking the Arno was a great place to relax at the end of the day and get a few glasses of wine before heading out for dinner."
"","","","","","","","","","","","","","","","","","","","","","p","","","I loved this hotel and would recommend it to anyone."
"","","","","","","","","","","2","1","1","Batchyboo","80780","80780:300","-1","3","1","-1","1","n","Jul 9, 2005","-1","Never Again Where do"
"","","","","","","","","","","","","","","","","","","","","","in","","","I start?"
"","","","","","","","","","","","","","","","","","","","","","x","","","Arrived after a long journey and went to our room on the fourth floor."
"","","","","","","","n","","","","","","","","","","","","","","","","","One of the smallest rooms in any Best Western I have stayed in."
"","","","","","","p","p","","","","","","","","","","","","","","","","","Decore was nice and clean, beds comfortable and we did have a fridge."
"","","","","","","","n","","","","","","","","","","","","","","","","","However window was wide open and was broken."
"","","","","","","","","n","","","","","","","","","","","","","","","","We asked at front desk and then said they would send someone up in 10 minutes, over 1 hour later no sign so we asked to move rooms."
"","","","","","","","","n","","","","","","","","","","","","","","","","The concierge was useless - un-helpfull and a waste of time."
"","","","","","in","","","","","","","","","","","","","","","","n","","","Told us about a vegaterian restruant that had closed down years ago, a dry cleaners that was also shut."
"","","","","","","","n","","","","","","","","","","","","","","","","","So we are in our new room, no double glazing and god could you here the traffic."
"","","","","","","","in","","","","","","","","","","","","","","","","","Dumper trucks, buses etc all from 4am....not much sleep at all."
"","n","","","","","","","","","","","","","","","","","","","","","","","Over rated and over priced."
"","","","","p","","","","","","","","","","","","","","","","","","","","The only good hting was the location."
"","","","","","","","","","","","","","","","","","","","","","n","","","It should be ashamed to call it's self a Best Western."
"","","","","","","","","","","1","1","-1","planetkelli","242435","242435:74","-1","-1","-1","-1","-1","n","Oct 23, 2007","-1","Assault I really liked this hotel in times past and as a travel agent for a very large reputable firm have sent quite a bit of business their way, however was gravely dissapointed by the way in which"
"","","","","","","","","","","","","","","","","","","","","","n","","","Hyatt neglected to ensure our safety and security!"
"","","","","","","","","n","","","","","","","","","","","","","","","","My family, friends and I were attacked and assaulted right in the jacuzzi and the hotel staff did nothing to prevent or stop this until it was too late."
"","","","","","","","","","","","","","","","","","","","","","","","","Then when it was over and the police came the hotel manager on duty refused to remove the assailants from the property as he said they were victims too when it was apparent these heavily intoxicated people perpetrated the act."
"","","","","","","","","","","","","","","","","","","","","","","","","For example, the primary assailant attempted to murder one of my traveling companions as her hair was pulled and head held under water while her husband who shouted sexual obsenities toward us watched."
"","","","","","","","","","","","","","","","","","","","","","in","","","Hyatt failed to take care of us before and after this incident and for that I can never recommend them again."
"","p","","","","","","","","","0","5","4","Flaherty99","224877","224877:158","-1","5","4","-1","4","p","May 13, 2005","-1","Very refined Got a great deal on the internet (40% off advertised rates) and used it as a one night stopover en route back to Heathrow."
"p","","","","ip","","","","","","","","","","","","","","","","","","","","Building is impressive (although dwarfed by surrounding financial HQs and the like) and about a 15 minute cab ride from the airport."
"","","","","","","","","p","","","","","","","","","","","","","","","","Staff are superb throughout the hotel."
"","","","","","","","p","","","","","","","","","","","","","","","","","Our room was a bay view - all fittings were excellent and my wife revelled in the bath."
"","in","","","","","","","","","","","","","","","","","","","","","","","And the ridiculously overpriced spa where she had a number of treatments, all preceded by the ringing of a small bell."
"","","","","","","","","","","","","","","","","","","","","","","","","Ahem."
"","","","","","p","","","p","","","","","","","","","","","","","","","","We ate in the Cafe/restaurant where the food was very good and again, the service top class."
"","","","","","","","","p","","","","","","","","","","","","","p","","","If you can get the rate this is a great stopover and the staff have a lot of nice touches like getting us some water for the cab ride back to the airport."
"","","","","","","","","p","","2","5","-1","A TripAdvisor Member","94326","94326:290","-1","-1","-1","-1","-1","p","Jul 23, 2003","-1","Excellent hotel, superb staff."
"","","","","","","","","","","","","","","","","","","","","","p","","","I spent 11 nights in the Wyndham Boston, and found it to be an excellent hotel."
"","","","","","","","","p","","","","","","","","","","","","","","","","Staff were top-notch, and quality of service second to nothing."
"n","","","","","","","","","","","","","","","","","","","","","","","","Only small gripes would be, no pool and tiny Gym."
"","","","","","","","","","","","","","","","","","","","","","p","","","Tip-join their members club (free) via their website before you book, and then you truly get treated royally .i.e upgrade to suites, free calls, free welcome snacks, daily papers etc."
"","","","","p","","","","","","1","3","4","m1mars","86978","86978:216","4","4","3","3","3","p","Aug 13, 2007","3","Great Location- ok hotel"
"","","","","","","","","","","","","","","","","","","","","","","","","Just returned from a 5 night stay at the waikiki beach hotel."
"","","","","","","","","","","","","","","","","","","","","","","","","I booked the room to have a ocean view room, the first room did have a view but mostly of the hotel across the street."
"","","","","","","","","","","","","","","","","","","","","","","","","Went to speak with reception and they moved me to a better room."
"","","","","","","","","","","","","","","","","","","","","","","","","Ask for room with an odd number thats starts over 13."
"","","","","","n","","","","","","","","","","","","","","","","","","","The breakfast was not worth it, better to walk to the corner and grab a starbucksThe best thing about the hotel is that the beach is across the street."
